Тюльпан Армани, триумф, 11/12, - 10шт;0;;;;Тюльпан Армани, триумф, 11/12, - 10шт;3254;Тюльпан;Армани;10шт;11/12;.;LKV2003254;4607109950555;;;;;;;;;;;;;;;;;;;;;;;3254;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109950555;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Артист, зел., 11/12, - 10шт;0;;;;Тюльпан Артист, зел., 11/12, - 10шт;3255;Тюльпан;Артист;10шт;11/12;.;LKV2003255;4607109950739;;;;;;;;;;;;;;;;;;;;;;;3255;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109950739;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Атлантис, пр.поздн, 11/12, - 10шт;0;;;;Тюльпан Атлантис, пр.поздн, 11/12, - 10шт;2427;Тюльпан;Атлантис;10шт;11/12;.;LKV2002427;4607109966938;;;;;;;;;;;;;;;;;;;;;;;2427;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109966938;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Ауторити, грейга, 11/12, - 10шт;0;;;;Тюльпан Ауторити, грейга, 11/12, - 10шт;3256;Тюльпан;Ауторити;10шт;11/12;.;LKV2003256;4607109950203;;;;;;;;;;;;;;;;;;;;;;;3256;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109950203;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Осер, бахр., 11/12, - 10шт;0;;;;Тюльпан Осер, бахр., 11/12, - 10шт;7435;Тюльпан;Осер;10шт;11/12;.;LKV2007435;4607109939284;;;;;;;;;;;;;;;;;;;;;;;7435;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109939284;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Авангард, махр.ранн., 11/12, - 10шт;0;;;;Тюльпан Авангард, махр.ранн., 11/12, - 10шт;6664;Тюльпан;Авангард;10шт;11/12;.;LKV2006664;4607109943083;;;;;;;;;;;;;;;;;;;;;;;6664;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109943083;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Авеню, мнгцв., 11/12, - 10шт;0;;;;Тюльпан Авеню, мнгцв., 11/12, - 10шт;2608;Тюльпан;Авеню;10шт;11/12;.;LKV2002608;4607109956335;;;;;;;;;;;;;;;;;;;;;;;2608;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109956335;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Авейрон, махр.поздн, 11/12, - 10шт;0;;;;Тюльпан Авейрон, махр.поздн, 11/12, - 10шт;6665;Тюльпан;Авейрон;10шт;11/12;.;LKV2006665;4607109943090;;;;;;;;;;;;;;;;;;;;;;;6665;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109943090;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Авокадо, триумф, 11/12, - 10шт;0;;;;Тюльпан Авокадо, триумф, 11/12, - 10шт;6080;Тюльпан;Авокадо;10шт;11/12;.;LKV2006080;4607109935217;;;;;;;;;;;;;;;;;;;;;;;6080;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109935217;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Айаан, триумф, 11/12, - 10шт;0;;;;Тюльпан Айаан, триумф, 11/12, - 10шт;3341;Тюльпан;Айаан;10шт;11/12;.;LKV2003341;4607109950777;;;;;;;;;;;;;;;;;;;;;;;3341;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109950777;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Бейби Блю, 2й эффект, 11/12, - 10шт;0;;;;Тюльпан Бейби Блю, 2й эффект, 11/12, - 10шт;1325;Тюльпан;Бейби Блю;10шт;11/12;.;LKV2001325;4607109962732;;;;;;;;;;;;;;;;;;;;;;;1325;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109962732;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Бэкпакер, махр.ранн., 11/12, - 10шт;0;;;;Тюльпан Бэкпакер, махр.ранн., 11/12, - 10шт;2614;Тюльпан;Бэкпакер;10шт;11/12;.;LKV2002614;4607109956410;;;;;;;;;;;;;;;;;;;;;;;2614;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109956410;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Баллада, лил., 11/12, - 10шт;0;;;;Тюльпан Баллада, лил., 11/12, - 10шт;3258;Тюльпан;Баллада;10шт;11/12;.;LKV2003258;4607109951422;;;;;;;;;;;;;;;;;;;;;;;3258;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109951422;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Баллада Шик, лил., 11/12, - 10шт;0;;;;Тюльпан Баллада Шик, лил., 11/12, - 10шт;9263;Тюльпан;Баллада Шик;10шт;11/12;.;LKV2009263;4607109916049;;;;;;;;;;;;;;;;;;;;;;;9263;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109916049;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Баллада Голд, лил., 11/12, - 10шт;0;;;;Тюльпан Баллада Голд, лил., 11/12, - 10шт;3259;Тюльпан;Баллада Голд;10шт;11/12;.;LKV2003259;4607109951415;;;;;;;;;;;;;;;;;;;;;;;3259;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109951415;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Баллада Уайт, лил., 12/+, - 10шт;0;;;;Тюльпан Баллада Уайт, лил., 12/+, - 10шт;2949;Тюльпан;Баллада Уайт;10шт;12/+;.;LKV2002949;4607109985403;;;;;;;;;;;;;;;;;;;;;;;2949;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109985403;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Балерина, лил., 11/12, - 10шт;0;;;;Тюльпан Балерина, лил., 11/12, - 10шт;3257;Тюльпан;Балерина;10шт;11/12;.;LKV2003257;4607109951408;;;;;;;;;;;;;;;;;;;;;;;3257;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109951408;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Балет, махр.поздн, 11/12, - 10шт;0;;;;Тюльпан Балет, махр.поздн, 11/12, - 10шт;6022;Тюльпан;Балет;10шт;11/12;.;LKV2006022;4607109967683;;;;;;;;;;;;;;;;;;;;;;;6022;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109967683;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Боллрум, бахр., 11/12, - 10шт;0;;;;Тюльпан Боллрум, бахр., 11/12, - 10шт;75;Тюльпан;Боллрум;10шт;11/12;.;LKV2000075;4607109979167;;;;;;;;;;;;;;;;;;;;;;;75;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109979167;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Банья Лука, дарв., 11/12, - 10шт;0;;;;Тюльпан Банья Лука, дарв., 11/12, - 10шт;6033;Тюльпан;Банья Лука;10шт;11/12;.;LKV2006033;4607109931110;;;;;;;;;;;;;;;;;;;;;;;6033;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109931110;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Барбадос, бахр., 11/12, - 10шт;0;;;;Тюльпан Барбадос, бахр., 11/12, - 10шт;2393;Тюльпан;Барбадос;10шт;11/12;.;LKV2002393;4607109966785;;;;;;;;;;;;;;;;;;;;;;;2393;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109966785;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Барселона, триумф, 11/12, - 10шт;0;;;;Тюльпан Барселона, триумф, 11/12, - 10шт;3260;Тюльпан;Барселона;10шт;11/12;.;LKV2003260;4607109950548;;;;;;;;;;;;;;;;;;;;;;;3260;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109950548;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Барре Альта, триумф, 11/12, - 10шт;0;;;;Тюльпан Барре Альта, триумф, 11/12, - 10шт;2627;Тюльпан;Барре Альта;10шт;11/12;.;LKV2002627;4607109956601;;;;;;;;;;;;;;;;;;;;;;;2627;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109956601;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Бастия, 2й эффект, 11/12, - 10шт;0;;;;Тюльпан Бастия, 2й эффект, 11/12, - 10шт;70;Тюльпан;Бастия;10шт;11/12;.;LKV2000070;4607109978979;;;;;;;;;;;;;;;;;;;;;;;70;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109978979;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Бастонье Пэррот, попуг., 11/12, - 10шт;0;;;;Тюльпан Бастонье Пэррот, попуг., 11/12, - 10шт;3263;Тюльпан;Бастонье Пэррот;10шт;11/12;.;LKV2003263;4607109950838;;;;;;;;;;;;;;;;;;;;;;;3263;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109950838;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
